id,hour,weather,temperature,humidity,windblow,windspeed,precipitation
1,1,晴れ,27.0,80.0,南,2,0
2,2,晴れ,26.5,80.0,南南東,3,0
3,3,晴れ,26.5,80.0,南南東,3,0
4,4,晴れ,26.0,80.0,南南東,3,0
5,5,晴れ,26.0,80.0,南,2,0
6,6,晴れ,26.5,84.0,南南東,2,0
7,7,曇り,27.5,80.0,南南西,1,0
8,8,曇り,28.5,80.0,南西,2,0
9,9,弱雨,29.0,76.0,南南東,3,2
10,10,弱雨,28.5,74.0,南南東,3,1
11,11,小雨,28.4,72.0,南南東,4,0
12,12,弱雨,29.0,72.0,南南東,4,2
13,13,豪雨,29.1,72.0,南,5,23
14,14,雨,29.3,74.0,南,5,5
15,15,曇り,29.0,74.0,南,4,0
16,16,曇り,28.8,72.0,南,4,0
17,17,曇り,28.1,74.0,南,3,0
18,18,曇り,27.6,74.0,南南西,3,0
19,19,曇り,27.2,76.0,南南西,3,0
20,20,曇り,26.7,78.0,南,3,0
21,21,曇り,26.6,80.0,南,2,0
22,22,曇り,26.6,82.0,南,2,0
23,23,曇り,26.7,82.0,南,2,0
24,24,曇り,26.4,82.0,南南東,2,0
25,25,曇り,25.9,84.0,南,2,0
26,26,曇り,25.5,86.0,南,2,0
27,27,曇り,25.3,86.0,南,1,0
28,28,曇り,24.9,88.0,南,1,0
29,29,曇り,25.2,88.0,南,1,0
30,30,曇り,25.8,88.0,南南西,1,0
31,31,曇り,26.6,84.0,南南東,1,0
32,32,曇り,27.2,80.0,南東,1,0
33,33,曇り,27.6,78.0,東南東,1,0
34,34,曇り,28.1,76.0,東南東,2,0
35,35,曇り,28.6,74.0,東南東,2,0
36,36,曇り,28.3,70.0,南東,2,0
37,37,晴れ,29.1,66.0,南東,2,0
38,38,晴れ,30.1,64.0,南南東,3,0
39,39,晴れ,30.4,64.0,南南東,3,0
40,40,晴れ,30.8,67.0,南,3,0
41,41,晴れ,29.6,67.0,南,3,0
42,42,晴れ,28.4,71.0,南南西,3,0
43,43,晴れ,27.4,73.0,南南西,3,0
44,44,晴れ,26.8,76.0,南南西,3,0
45,45,晴れ,26.7,78.0,南,3,0
46,46,晴れ,26.6,81.0,南,2,0
47,47,晴れ,26.6,84.0,南,2,0
48,48,晴れ,26.3,86.0,南,1,0
49,49,晴れ,26.0,88.0,北北東,2,0
50,50,晴れ,25.6,90.0,北北東,2,0
51,51,晴れ,25.4,90.0,北北東,2,0
52,52,晴れ,25.2,90.0,北北東,2,0
53,53,晴れ,25.2,90.0,北,2,0
54,54,晴れ,25.4,88.0,北,2,0
55,55,晴れ,26.1,86.0,北,2,0
56,56,晴れ,27.4,80.0,北北東,3,0
57,57,晴れ,28.6,78.0,北北東,3,0
58,58,晴れ,29.6,74.0,北東,3,0
59,59,晴れ,30.6,70.0,北東,3,0
60,60,晴れ,31.7,68.0,東北東,2,0
61,61,晴れ,33.1,66.0,東,2,0
62,62,晴れ,33.5,64.0,東,2,0
63,63,晴れ,32.9,64.0,東,2,0
64,64,晴れ,31.9,66.0,東,2,0
65,65,晴れ,30.1,68.0,東南東,2,0
66,66,晴れ,29.0,70.0,東南東,2,0
67,67,晴れ,28.1,76.0,東南東,2,0
68,68,晴れ,27.4,80.0,東南東,3,0
69,69,晴れ,26.9,82.0,東南東,3,0
70,70,晴れ,26.3,84.0,東南東,2,0
71,71,晴れ,26.3,88.0,東,1,0
72,72,晴れ,26.1,88.0,東北東,1,0
